Day	MaxT	MinT	AvgT	Prep	NewSnow	SnowDepth
1	46	21	33.5	0.04	0.1	0
2	23	12	17.5	T	0.1	0
3	39	15	27.0	0.00	0.0	0
4	42	21	31.5	0.05	0.3	T
5	27	15	21.0	T	T	T
6	33	26	29.5	T	T	0
7	31	22	26.5	0.41	T	0
8	31	16	23.5	T	T	0
9	51	27	39.0	0.00	0.0	0
10	47	33	40.0	0.04	0.0	0
11	39	29	34.0	0.33	T	0
12	40	22	31.0	0.00	0.0	0
13	46	24	35.0	0.00	0.0	0
14	60	40	50.0	0.50	0.0	0
15	69	57	63.0	0.25	0.0	0
16	57	34	45.5	0.64	0.0	0
17	36	31	33.5	0.24	1.1	0
18	48	32	40.0	0.00	0.0	0
19	73	40	56.5	0.01	0.0	0
20	79	60	69.5	0.00	0.0	0
21	68	42	55.0	0.65	0.0	0
22	46	38	42.0	1.13	0.0	0
23	63	45	54.0	0.97	0.0	0
24	56	48	52.0	2.26	0.0	0
25	60	40	50.0	0.27	0.0	0
26	56	32	44.0	0.00	0.0	0
27	62	37	49.5	0.00	0.0	0
28	57	47	52.0	0.01	0.0	0
